Date,Open,High,Low,Close
11/9/2017,308.64,329.45,307.06,320.88
11/10/2017,320.67,324.72,294.54,299.25
11/11/2017,298.59,319.45,298.19,314.68
11/12/2017,314.69,319.15,298.51,307.91
11/13/2017,307.02,328.42,307.02,316.72
11/14/2017,316.76,340.18,316.76,337.63
11/15/2017,337.96,340.91,329.81,333.36
11/16/2017,333.44,336.16,323.61,330.92
11/17/2017,330.17,334.96,327.52,332.39
11/18/2017,331.98,349.62,327.69,347.61
11/19/2017,347.40,371.29,344.74,354.39
11/20/2017,354.09,372.14,353.29,366.73
11/21/2017,367.44,372.47,350.69,360.40
11/22/2017,360.31,381.42,360.15,380.65
11/23/2017,381.44,425.55,376.09,410.17
11/24/2017,412.50,480.97,402.76,474.91
11/25/2017,475.68,485.19,461.05,466.28
11/26/2017,465.97,472.72,451.61,471.33
11/27/2017,471.53,493.40,468.48,480.36
11/28/2017,480.52,482.48,466.35,472.90
11/29/2017,473.28,522.31,425.07,427.52
11/30/2017,431.21,465.50,401.24,447.11
12/1/2017,445.21,472.61,428.31,466.54
12/2/2017,466.85,476.24,456.65,463.45
12/3/2017,463.70,482.81,451.85,465.85
12/4/2017,466.05,474.78,453.31,470.20
12/5/2017,470.29,473.56,457.66,463.28
12/6/2017,462.60,462.71,420.21,428.59
12/7/2017,426.37,441.40,414.41,434.41
12/8/2017,434.99,466.06,422.37,456.03
12/9/2017,457.34,504.15,456.25,473.50
12/10/2017,472.79,472.79,429.51,441.72
12/11/2017,440.36,516.97,439.10,515.14
12/12/2017,522.29,657.32,504.49,651.43
12/13/2017,644.91,747.99,597.80,702.77
12/14/2017,700.59,753.12,664.99,695.82
12/15/2017,696.38,697.13,621.06,684.45
12/16/2017,686.19,718.39,680.79,696.21
12/17/2017,696.24,735.83,696.24,719.97
12/18/2017,721.73,803.93,689.23,794.65
12/19/2017,793.90,881.94,785.34,826.82
12/20/2017,827.52,845.06,756.00,819.09
12/21/2017,820.24,880.54,792.69,821.06
12/22/2017,822.64,827.68,543.76,674.86
12/23/2017,681.32,763.90,679.73,719.39
12/24/2017,721.77,721.77,614.92,694.15
12/25/2017,698.87,782.52,698.87,765.83
12/26/2017,763.37,786.79,760.93,773.84
12/27/2017,774.97,789.25,738.41,762.84
12/28/2017,762.21,763.32,701.19,737.02
12/29/2017,740.39,770.12,729.61,753.59
12/30/2017,753.82,753.82,685.23,717.26
12/31/2017,712.21,760.35,710.12,756.73
1/1/2018,755.76,782.53,742.00,772.64
1/2/2018,772.35,914.83,772.35,884.44
1/3/2018,886.00,974.47,868.45,962.72
1/4/2018,961.71,1045.08,946.09,980.92
1/5/2018,975.75,1075.39,956.33,997.72
1/6/2018,995.15,1060.71,994.62,1041.68
1/7/2018,1043.01,1153.17,1043.01,1153.17
1/8/2018,1158.26,1266.93,1016.05,1148.53
1/9/2018,1146.00,1320.98,1145.49,1299.74
1/10/2018,1300.34,1417.38,1226.60,1255.82
1/11/2018,1268.09,1337.30,1135.17,1154.93
1/12/2018,1158.29,1296.04,1120.09,1273.20
1/13/2018,1270.47,1432.88,1270.47,1396.42
1/14/2018,1397.48,1400.56,1286.21,1366.77
1/15/2018,1365.21,1390.59,1290.60,1291.92
1/16/2018,1292.63,1292.63,875.54,1053.69
1/17/2018,1061.34,1090.23,780.92,1014.25
1/18/2018,1016.44,1100.31,967.76,1036.28
1/19/2018,1028.82,1093.22,1003.71,1039.10
1/20/2018,1044.95,1167.11,1044.95,1155.15
1/21/2018,1155.68,1155.68,1021.50,1049.58
1/22/2018,1055.35,1089.10,930.74,1003.26
1/23/2018,1004.17,1023.23,920.54,986.23
1/24/2018,987.48,1062.44,965.81,1058.78
1/25/2018,1063.22,1104.66,1034.74,1056.03
1/26/2018,1052.70,1080.60,996.78,1055.17
1/27/2018,1055.75,1121.98,1042.12,1107.07
1/28/2018,1111.78,1257.77,1111.78,1246.01
1/29/2018,1246.70,1256.70,1169.08,1182.36
1/30/2018,1184.13,1184.63,1058.97,1071.13
1/31/2018,1071.09,1128.66,1034.50,1118.31
2/1/2018,1119.37,1161.35,984.82,1036.79
2/2/2018,1035.77,1035.77,757.98,915.78
2/3/2018,919.21,991.94,847.69,964.02
2/4/2018,964.67,969.03,805.06,834.68
2/5/2018,834.96,856.65,644.60,697.95
2/6/2018,707.74,796.44,574.42,793.12
2/7/2018,790.43,851.20,723.43,757.07
2/8/2018,755.84,845.09,755.84,817.81
2/9/2018,818.48,884.00,788.83,883.86
2/10/2018,882.47,917.40,825.58,860.41
2/11/2018,859.29,859.29,788.22,814.66
2/12/2018,817.51,875.94,817.51,868.71
2/13/2018,869.29,870.71,828.84,845.26
2/14/2018,844.28,926.43,844.28,923.56
2/15/2018,923.73,951.95,911.11,936.98
2/16/2018,934.79,950.01,917.85,944.21
2/17/2018,944.75,976.59,940.75,974.11
2/18/2018,973.35,982.93,915.45,923.92
2/19/2018,921.67,957.78,921.55,943.86
2/20/2018,943.57,965.27,892.95,895.37
2/21/2018,894.14,912.38,830.56,849.97
2/22/2018,849.26,875.93,802.67,812.84
2/23/2018,811.59,886.32,794.79,864.19
2/24/2018,861.59,879.53,818.55,840.52
2/25/2018,839.46,853.15,822.38,844.81
2/26/2018,845.28,880.39,842.32,869.32
2/27/2018,870.36,896.26,867.10,878.27
2/28/2018,877.93,890.11,855.12,855.20
3/1/2018,856.01,880.30,851.92,872.20
3/2/2018,871.76,876.38,852.42,856.85
3/3/2018,856.71,868.45,855.21,857.22
3/4/2018,856.19,867.95,840.28,866.68
3/5/2018,866.85,869.92,853.52,853.68
3/6/2018,853.82,853.82,809.93,816.95
3/7/2018,816.27,825.61,726.55,752.83
3/8/2018,752.57,773.77,696.17,704.60
3/9/2018,702.20,729.16,648.11,728.92
3/10/2018,730.16,748.03,682.70,686.89
3/11/2018,685.31,735.83,668.12,723.34
3/12/2018,724.41,742.51,683.27,699.83
3/13/2018,698.15,713.73,682.35,690.83
3/14/2018,691.22,702.78,594.10,614.29
3/15/2018,614.84,620.62,579.51,611.30
3/16/2018,611.78,623.17,587.86,601.67
3/17/2018,601.68,609.15,549.10,552.78
3/18/2018,551.64,551.64,460.09,538.64
3/19/2018,546.63,558.10,519.12,556.73
3/20/2018,556.72,567.09,521.20,557.17
3/21/2018,559.10,589.61,550.57,561.73
3/22/2018,562.10,577.57,523.09,539.70
3/23/2018,539.86,540.49,512.13,539.62
3/24/2018,542.57,545.38,526.08,526.44
3/25/2018,522.70,535.82,515.66,524.29
3/26/2018,524.29,526.38,470.44,489.95
3/27/2018,489.59,491.46,449.97,450.12
3/28/2018,450.29,466.21,444.86,446.28
3/29/2018,448.08,450.81,385.81,385.97
3/30/2018,385.90,409.93,368.63,394.64
3/31/2018,395.00,418.47,392.95,396.46
4/1/2018,397.25,400.53,363.80,379.61
4/2/2018,379.70,395.17,377.59,386.42
4/3/2018,387.31,418.97,383.53,416.89
4/4/2018,416.48,417.47,375.31,380.54
4/5/2018,379.95,387.72,369.82,383.23
4/6/2018,382.73,385.20,366.91,370.29
4/7/2018,370.38,393.06,369.94,385.31
4/8/2018,385.74,402.59,385.60,400.51
4/9/2018,400.86,429.25,390.61,398.53
4/10/2018,399.41,415.89,393.88,414.24
4/11/2018,415.02,430.54,412.47,430.54
4/12/2018,430.16,493.06,417.41,492.94
4/13/2018,493.16,526.47,482.66,492.73
4/14/2018,492.58,512.02,488.28,501.48
4/15/2018,502.88,531.70,502.88,531.70
4/16/2018,532.07,534.20,500.25,511.15
4/17/2018,511.14,518.03,502.56,502.89
4/18/2018,503.31,525.09,503.05,524.79
4/19/2018,524.04,567.89,523.26,567.89
4/20/2018,567.99,618.72,560.28,615.72
4/21/2018,616.00,621.89,578.55,605.40
4/22/2018,606.12,640.77,593.87,621.86
4/23/2018,621.20,646.70,621.03,642.55
4/24/2018,643.40,708.88,643.40,708.16
4/25/2018,707.06,707.06,600.21,615.42
4/26/2018,618.08,663.18,604.01,662.81
4/27/2018,662.11,684.87,647.03,647.03
4/28/2018,644.65,691.44,644.65,683.68
4/29/2018,683.91,697.76,670.51,688.88
4/30/2018,689.76,694.44,666.12,669.92
5/1/2018,670.46,674.40,637.54,673.61
5/2/2018,674.08,688.84,667.42,687.15
5/3/2018,686.59,784.34,686.59,779.54
5/4/2018,776.78,803.75,762.63,785.62
5/5/2018,784.58,827.46,784.24,816.12
5/6/2018,816.09,835.06,764.88,792.31
5/7/2018,793.34,795.76,710.18,753.72
5/8/2018,755.01,774.25,728.13,752.86
5/9/2018,752.90,759.53,718.47,752.28
5/10/2018,752.58,766.75,726.66,727.28
5/11/2018,727.01,736.98,669.83,679.59
5/12/2018,679.88,691.41,644.07,686.05
5/13/2018,687.17,741.31,675.32,733.50
5/14/2018,732.73,742.17,695.79,730.55
5/15/2018,731.14,739.05,700.99,708.87
5/16/2018,708.09,710.20,682.54,707.05
5/17/2018,708.72,718.83,668.83,672.66
5/18/2018,672.10,695.03,663.81,694.37
5/19/2018,695.07,715.58,686.79,696.53
5/20/2018,697.92,723.75,692.67,715.37
5/21/2018,717.19,719.28,692.49,699.22
5/22/2018,700.18,700.98,644.03,647.74
5/23/2018,646.67,651.64,572.95,583.59
5/24/2018,584.54,610.82,557.21,601.76
5/25/2018,602.14,617.19,575.62,586.73
5/26/2018,587.43,606.17,583.51,587.28
5/27/2018,588.52,590.33,562.87,572.67
5/28/2018,573.04,576.05,512.55,516.04
5/29/2018,516.15,572.26,516.15,565.39
5/30/2018,566.83,583.14,545.43,559.59
5/31/2018,558.50,585.54,557.07,577.65
6/1/2018,578.67,589.09,567.66,580.04
6/2/2018,580.43,597.08,577.32,591.81
6/3/2018,591.26,624.51,591.26,618.33
6/4/2018,619.44,623.43,583.75,592.98
6/5/2018,593.41,611.33,580.98,609.30
6/6/2018,610.26,611.64,596.40,607.12
6/7/2018,607.69,616.14,601.69,605.19
6/8/2018,605.44,608.81,595.59,601.08
6/9/2018,600.91,608.58,597.56,597.56
6/10/2018,594.34,594.34,511.89,526.48
6/11/2018,524.86,536.86,515.27,533.28
6/12/2018,532.71,538.96,491.23,496.84
6/13/2018,498.02,501.90,459.00,477.49
6/14/2018,478.38,523.54,467.47,519.74
6/15/2018,520.48,521.30,487.47,491.00
6/16/2018,490.41,503.22,488.85,499.64
6/17/2018,499.46,507.64,498.65,500.45
6/18/2018,499.38,521.80,494.07,518.89
6/19/2018,519.02,542.35,516.31,537.96
6/20/2018,538.51,541.02,519.37,536.27
6/21/2018,536.45,543.72,524.26,527.37
6/22/2018,527.19,527.19,456.88,465.82
6/23/2018,466.27,479.13,462.39,474.52
6/24/2018,474.77,475.36,426.47,457.67
6/25/2018,455.94,470.34,448.90,460.31
